"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-06-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Canadá","CAN","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","142533","142283","132220","135010","135890","142705","148670","149500","154698","156432","150264","151436","148724","148565","","133911","140720","141045","","","","","","","","","","","","","","","","","","","","","",
"Europa Central y del Báltico","CEB","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","508005.625","","","","","","","","","","","","","583770.0625","581318.9375","566212.375","567199.0625","571484.25","567375.5625","547339","535662.75","515220","482745.5","453595.03125","445427.125","440033.8125","432093","430623","430727","428992","425774","397050","394887","396932","396556.4375","407843.96875","420477.5","421191.0625","482907.1875","454465.9375","451379.125","",
"Suiza","CHE","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44956","46306","47889","","49167","51133","51655","52635","","",
"Islas del Canal","CHI","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53480","56424","55808","","53267","50261","64334","66060","65852","66862","67240","70044","66059","69191","71073","75405","78769.4375","80397.96875","82980","85129.6171875","88050.9296875","91681.515625","","",
"China","CHN","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","3487000","3612000","4095000","4398000","4679000","4944000","5203000","5289000","5226000","5226000","5381800","5499400","5580100","5504600","5424600","5369600","5376800","5413600","5433800","5501300","5543800","5581810","5532300","5526500","5551600","5611324","5664057","5735790","5793561","","","5860316","","5778853","","","5967878","6073666","6035510","6018780","5997393","5939088","5907896","5866510","5859672","5889014","5933119","6045682","6201651","6363952","6526772","",
"Côte d'Ivoire","CIV","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","10801","11170","11433","13006","13158","14403","15358","17044","18825","21640","24609","26460","29774","31297","32414","32323","33500","34716","36050","36769","38722","39002","39057","41067","39691","36058","40529","","43386","44731","43205","44424","48227","48308","","","45804","53161","56248","56575","","56455","70016","73691","74703","80155","85109","88910","93257","96255","101085","",
"Camerún","CMR","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","19359","19159","19813","19719","20803","22209","23029","24046","24843","25289","26763","28585","31588","31030","32082","33598","35728","36548","37261","37804","38430","40012","","","40970","","39384","39084","41142","","42873","45089","49042","55266","62280","67081","70230","69544","72344","76655","78903","84467","","93738","105388","104860","97984","93723","96546","","",
"Congo, República Democrática del","COD","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","72546","73129","80481","","","","","","","","","","","112077","","","113468","","","","","114967","117267","112041","121054","","","119399","154618","","","158887","","","","","230834","255594","274453","285640","296554","345486","339928","383207","414580","","","544039","","","",
"Congo, República del","COG","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","3898","4083","4373","4650","5053","5434","","6675","6832","6852","7186","6997","7329","7803","7549","7745","7818","7429","7858","7639","7578","7789","7415","6891","6309","6836","6850","6688","4515","6923","8420","9342","7818","7058","","11260","10631","12124","10433","14347","15438","16527","","","","","","27845","","","",
"Colombia","COL","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","86005","90271","103292","110084","115310","121957","125830","128494","131214","139277","136381","137721","131741","133957","135417","132940","135924","138172","139427","140681","141936","143193","162445","166123","179776","189123","193911","","220517","214911","197374","197234","193627","","188147","186898","187920","179286","179806","180806","180760","178550","189335","188462","187042","184791","182919","184384","","184695","176442","",
"Comoras","COM","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","361","396","533","554","","756","","","","","1292","","1617","1607","1997","1901","1808","1777","1764","1900","1995","1894","1771","1737","","1508","","","2381","2536","","2660","2908","2967","","","","3685","","","4201","","4322","","","","6429","4428","","","",
"Cabo Verde","CPV","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","730","973","","1068","1242","1243","1314","1412","1552","1396","1436","","","1445","","1493","1791","1892","1981","2028","1896","","","2657","","","","3219","3228","3190","3214","3121","3145","3169","3190","3210","3170","3132","3072","3009","2972","2956","2955","2965","2988","2995","3016","3043","3093","","",
"Costa Rica","CRI","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","11720","12061","12573","12940","12643","12429","12973","","","13242","12596","10556","10824","10767","10379","11526","11785","12490","12829","13073","13651","14078","14584","14949","15806","16565","17554","18358","19239","21233","22111","22715","24142","","24975","25399","27733","27518","28186","28888","29163","29233","","35986","35967","37349","39717","40627","39638","42720","43093","",
"Estados pequeos del Caribe","CSS","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","27466.900390625","29116.7421875","31345.439453125","30835.458984375","31105.814453125","30491.98046875","30464.98046875","31487.1171875","30695.888671875","29541.103515625","30238.779296875","30216.169921875","31138.18359375","33133.42578125","32469.806640625","32427.11328125","32526.1484375","32069.939453125","32583.359375","33394.4765625","32966.40234375","32910.1953125","33443.8828125","34422.58984375","34285.3046875","34108.0625","34137.40234375","34252.3203125","34899.48828125","35928.06640625","36337.796875","36214.84375","35904.78125","36561.12890625","37645.59765625","38000.85546875","38987.75390625","40024.73046875","39556.44140625","40260.265625","40124.3359375","39271.07421875","39233.33984375","39819.48828125","39277.42578125","38892.63671875","38522.296875","38406.5546875","36972.60546875","38807.4296875","38786.19140625","",
"Cuba","CUB","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","56555","57110","60132","67891","74237","77472","80845","86253","86738","86519","84041","83113","83358","83424","79610","77111","75273","73874","73216","71887","70962","74354","76161","76193","74225","90565","92820","91310","91220","90920","93758","","86641","88498","86827","89181","91530","90677","92016","93414","90918","88699","85202","84209","83798","84101","83125","80922","80503","84629","",
"Curacao","CUW","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Islas Caimán","CYM","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","88","","","112","","","","","","","","","","","","","","","","","","","209","237","234","240","","251","253","286","335","309","","","330","303","303","","","","","273","","346.899993896484","",
